baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
105.0822545,0.198273423,0.485570905,0.408330526,0.683031031,0.999997623
13.13961323,0.316922906,0.482829331,0.656387021,0.511575139,0.999997623
194.279122,-0.118424425,0.150713755,-0.785757246,0.432009719,0.999997623
1692.486972,-0.091444917,0.088551814,-1.032671305,0.301757746,0.999997623
19.26054731,-0.024867836,0.384178193,-0.064729951,0.948389015,0.999997623
1431.624748,-0.257999336,0.228604589,-1.128583364,0.259073632,0.999997623
17.55388109,-0.486162073,0.537096781,-0.905166611,0.365377128,0.999997623
949.1254841,-0.484291537,0.272011613,-1.780407573,0.075009283,0.999997623
3.167698195,1.736931863,0.765501777,2.269010883,0.023267664,0.999997623
7.777099925,0.327202524,0.548992618,0.596005326,0.551171669,0.999997623
871.8752134,-0.164939078,0.14090751,-1.170548527,0.241780297,0.999997623
11758.08093,-0.006250925,0.174388794,-0.035844762,0.971406141,0.999997623
5.109878984,-0.474934129,0.829230978,-0.572740457,0.56682044,0.999997623
10.8495104,0.15424548,0.423294105,0.364393169,0.715564436,0.999997623
286.0115066,-0.22134255,0.197166593,-1.122616902,0.261600234,0.999997623
124.2374691,-0.546004594,0.284170564,-1.921397438,0.054681621,0.999997623
443.606238,0.075383556,0.15880541,0.47469136,0.635006977,0.999997623
3633.969755,-0.187909705,0.12454388,-1.508783125,0.131354215,0.999997623
202.2327413,0.042515026,0.221341479,0.192078894,0.847680407,0.999997623
14.77070472,-0.66225497,0.591543387,-1.119537442,0.262910927,0.999997623
303.185958,-0.275191481,0.334153254,-0.823548709,0.41019603,0.999997623
851.0764333,-0.617789556,0.306618845,-2.014845356,0.043920855,0.999997623
696.0982418,-0.338089288,0.145087409,-2.330245538,0.019793177,0.999997623
21.03408327,1.239942002,2.586968969,0.479303006,0.631723084,0.999997623
45.99904251,-0.029372404,0.381424159,-0.077007193,0.938617823,0.999997623
258.6131724,-0.663039875,0.349215792,-1.898653758,0.057610015,0.999997623
44.78132244,0.307485629,0.334078351,0.920399747,0.357363901,0.999997623
1315.405886,-0.240188834,0.248983123,-0.964679175,0.334705529,0.999997623
92.41045569,-0.419562022,0.343748969,-1.220547726,0.222257309,0.999997623
2403.828127,-0.275326234,0.152797238,-1.801905829,0.071560223,0.999997623
117.0160246,-0.191538805,0.32034142,-0.597920821,0.549892766,0.999997623
149.7290783,-0.257554621,0.224878363,-1.145306368,0.252082269,0.999997623
0.576027976,1.230449096,2.613034191,0.470889015,0.637719993,0.999997623
84.0832748,-0.284330975,0.301387967,-0.943405199,0.345473685,0.999997623
1907.577444,0.058467265,0.092540482,0.631802038,0.527516242,0.999997623
551.7183935,-0.02531975,0.1226264,-0.206478782,0.836416937,0.999997623
3041.659728,-0.085862854,0.209654547,-0.409544442,0.682140159,0.999997623
268.1830741,-0.370079192,0.290108943,-1.275655925,0.202077175,0.999997623
6.873523137,-0.861502808,0.636335342,-1.353850323,0.175784135,0.999997623
103.6615368,-0.255876151,0.299208405,-0.855177017,0.392453158,0.999997623
40.05898632,-0.33012038,0.211929382,-1.557690471,0.11930664,0.999997623
1207.710022,-0.103415912,0.145268609,-0.711894419,0.476530158,0.999997623
747.7859809,-0.340663051,0.213511964,-1.595522069,0.110595539,0.999997623
24.0603932,-0.359141522,0.429367704,-0.836442794,0.402905846,0.999997623
16.38265274,0.305196619,0.477605116,0.639014552,0.522813465,0.999997623
102.8988792,-0.693657224,0.369066424,-1.879491546,0.060177407,0.999997623
36.31211612,-0.67767392,0.331525694,-2.044106781,0.040942999,0.999997623
62.02069654,-0.607303897,0.469606588,-1.293218437,0.195935521,0.999997623
284.4975662,-0.676113283,0.316135195,-2.138684,0.032461269,0.999997623
6.507878758,-0.469187833,0.884478768,-0.530468169,0.595787373,0.999997623
15.23236595,0.340272995,0.437884592,0.777083738,0.437109368,0.999997623
10.64813828,-0.245521901,0.521130539,-0.471133205,0.637545614,0.999997623
987.357071,-0.095284992,0.134299719,-0.709495094,0.478017295,0.999997623
21.38845868,1.29513096,0.719964541,1.798881594,0.072037413,0.999997623
3.750298371,-0.316543137,0.786003759,-0.402724711,0.687150753,0.999997623
127.8217037,-0.127315352,0.24962234,-0.510031881,0.610029127,0.999997623
6.378791573,-0.906272114,1.424499891,-0.636203709,0.524643656,0.999997623
16.2738208,-0.804519948,0.8389268,-0.958987064,0.337565262,0.999997623
0.355465581,1.776147097,2.821284351,0.62955267,0.528987298,0.999997623
731.8971388,-0.565451434,0.274373491,-2.060882164,0.039314283,0.999997623
636.6654875,-0.231990657,0.314763002,-0.737032803,0.461102402,0.999997623
6.850366369,0.157756818,0.821898979,0.191941859,0.847787748,0.999997623
0.548359715,-1.133980573,1.387044913,-0.817551445,0.413613362,0.999997623
20.27482725,-0.272060407,0.62026663,-0.438618481,0.660938004,0.999997623
52.57021193,0.447406724,0.431716478,1.036343866,0.300041748,0.999997623
19.79670868,-0.235653213,0.510453413,-0.461654692,0.644328967,0.999997623
22.09596743,0.048289115,0.613182892,0.07875157,0.937230226,0.999997623
62.80604214,-0.792271214,0.401911743,-1.971256693,0.048694522,0.999997623
231.2042406,-0.359345739,0.282723036,-1.271016838,0.203722659,0.999997623
0.296575048,0.580685024,2.879516712,0.201660585,0.840182078,0.999997623
43.92460189,-0.665598612,0.479363512,-1.388504956,0.164983337,0.999997623
78.84646578,0.080243997,0.321081257,0.249918035,0.802650736,0.999997623
0.086914805,0.29600209,3.055655294,0.096870249,0.922829435,0.999997623
1.608089836,1.342325016,1.614132859,0.831607515,0.405630519,0.999997623
12.59061418,0.067846089,0.443663903,0.152922264,0.878459578,0.999997623
